Text,Sentiment_Score,Sentiment_Label
Last session of the day  http://twitpic.com/67ezh,0.90389544,neutral
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,0.98564583,positive
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",0.9084553,negative
 happy bday!,0.9839833,positive
 http://twitpic.com/4w75p - I like it!!,0.98487985,positive
 that`s great!! weee!! visitors!,0.9908998,positive
I THINK EVERYONE HATES ME ON HERE   lol,0.94895804,negative
" soooooo wish i could, but im in school and myspace is completely blocked",0.8576214,negative
 and within a short time of the last clue all of them,0.7425049,neutral
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,0.8268594,positive
My bike was put on hold...should have known that.... argh total bummer,0.940477,negative
 I checked.  We didn`t win,0.4881124,neutral
 .. and you`re on twitter! Did the tavern bore you that much?,0.7174334,negative
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",0.8026787,negative
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,0.8544074,negative
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",0.9735401,negative
 Miss you,0.62880147,neutral
Cramps . . .,0.5842883,negative
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,0.63834053,positive
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",0.74280745,negative
Stupid storm. No river for us tonight,0.9424515,negative
My dead grandpa pays more attention to me than you do,0.512599,negative
"... need retail therapy, bad. AHHH.....gimme money geebus",0.7188117,negative
about to go to sleep,0.68633896,neutral
 you are lame  go make me breakfast!!,0.86837417,negative
 thats so cool,0.9860174,positive
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",0.49444625,negative
"Huh, another ScarePoint coding Sunday",0.71720666,neutral
 look who I found just for you  --->  http://twitter.com/DJT2009,0.5548568,positive
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",0.4579825,negative
 guess that depends on if you want to be on the jury,0.7986121,neutral
resorted to eating Mickey Ds ALONE.,0.71229964,neutral
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",0.4909559,neutral
 did he ask for your Twitter ID? Your sun sign?,0.90726924,neutral
 where`d you go!,0.8120887,neutral
Watching Body of Lies...good film,0.89274746,positive
Happy mothers day mumm  xoxo,0.9814612,positive
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,0.6835756,negative
 I`m sorry  at least it`s Friday?,0.5676137,neutral
"feels sorry every time I`m printing out, I use like 200 new papers",0.7955664,negative
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,0.4953561,negative
 I always forget SOMETHING when I travel. I am at Newark airport.,0.7054133,negative
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,0.66946936,negative
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,0.71198887,neutral
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",0.71403766,positive
  Hope ur havin fun in da club,0.88452727,positive
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,0.5882823,positive
thinks SG is wonderful,0.95282173,positive
  im really sorry i know wallah how u feel this life is shittttttttt,0.909336,negative
Not happy,0.94777954,negative
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,0.82181555,positive
 I`ll oscillate from one to the other.,0.83977675,neutral
I`m so very tired...and have insomnia.,0.9155631,negative
 Thanks Ennio,0.7081724,positive
 you should totally come get me and bring me to kelslaws house with you.,0.76912093,positive
" You seem nice, you`re generous and you know your stuff",0.88180435,positive
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,0.45094496,neutral
almost got a kitty yesterday...but it didn`t work out,0.6310892,negative
"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",0.59302557,neutral
   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,0.9835411,positive
 i still dont know what we would do though,0.6014449,neutral
"_xo   dang it, so its not certain ? ? ? are you okay?",0.5065216,negative
Change of plans. I am staying in Brandon.  No Papaya Salad for me.,0.76919377,neutral
"Dear rain, you suck. Now I gotta change my plans for tonight",0.9650705,negative
at starbucks with my love. eff school. i have work later too.,0.78473663,positive
I just cried whilst watching hollyoaks  .. i need a life! lol,0.68960726,negative
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",0.98655,positive
Terminator Salvation... by myself.,0.75355256,neutral
" for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",0.45213348,neutral
 Why do I have to enter my registration details every time I update?,0.68504465,negative
"On the monday, so i wont be able to be with you!  i love you",0.86018956,positive
" Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",0.97804534,positive
 TGIF is right...I think I broke my toe last night - on my bad foot.,0.84876674,negative
" Oherr it`s soon then, do you have plans? I had a party on saturday  x",0.70562154,neutral
_LaMont yr very young looking dude,0.5378121,neutral
": hmmm, wrong link, ignore my tweet",0.72858244,negative
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,0.97119194,negative
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,0.92827547,negative
" yep, i wish they were all playing dubiln",0.6061323,neutral
 im a lady and ladies don`t move couches. they direct where the couches go,0.83228064,neutral
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,0.98407584,positive
 26th February,0.6692754,neutral
Guess what? mom adopted a kitty today (11 months) His name is Corky,0.5797783,positive
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,0.992967,positive
 Thank you!  I`m working on `s,0.9580003,positive
 lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,0.4846331,neutral
Not feeling all that well today,0.9371206,negative
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",0.8677018,negative
_berland LMAO I know I know,0.5895318,neutral
Gnight shar   <(` `<)Vega(>` `)>,0.8340298,neutral
The underwire in my bra is sticking out and poking me in the armpit,0.8285774,negative
Happy Mothers Day!!!,0.9889392,positive
"Yes, I am",0.5555287,positive
 I can`t call Mitch!  Im from sweden!,0.47382778,negative
Happy star wars day! May the fourth be with you,0.9902441,positive
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,0.42190635,negative
i just watched Marley & Me...i cried so hard!,0.63595736,positive
Take antibacterial to school to clean your hands when you cant go the loos,0.57614917,neutral
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,0.89297444,neutral
 haaaw..well i get out of class at 10:50..i hope i make it,0.690523,positive
"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",0.603647,positive
skype call with billie but my webcam dont work,0.78183717,negative
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",0.98189765,positive
FML not having a car is prohibiting finding a job,0.5703085,negative
"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",0.60840046,neutral
 I want to see David cook!!,0.89010364,positive
 yeh me 2,0.64633447,neutral
 learning tat the scenic way  din plan to go town but somehow was herded there?,0.6745824,neutral
" i don`t want to do anything specific, i just want to see you and puppy!",0.6538772,positive
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,0.7515735,negative
Toy Story 3 trailer premiered with Up. I need my computer back.,0.5837676,negative
ughh on the phone with HP!,0.4759318,neutral
And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',0.7915071,neutral
 yay about breaking 200!,0.8938439,positive
 bahah sadly I am not,0.5870085,negative
 i always have those for my Champions League parties  Tis awesome,0.95206255,positive
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",0.8576134,positive
_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,0.7647401,neutral
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,0.60958165,positive
might have to go back much earlier than expected. bye bye bay area,0.48016086,negative
"Playin City of Villains, wishin my buddies were playin with me.....",0.60486346,neutral
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",0.52095497,neutral
 riley hacked my twitter!  hahaha :],0.45780468,negative
Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,0.7672012,negative
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,0.969529,positive
man im so sad school is ending  but then again high school might be better :O,0.47286445,negative
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",0.89096487,positive
 you`re the absoute best,0.9134546,positive
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,0.36884406,neutral
My near daily exercise is starting to show results.,0.8267331,positive
 Welcome!,0.8959518,positive
Bout to hit pmark then make one of my final meals wit the housemates..,0.8806229,neutral
: you get to go home and i have to go to work,0.6582606,neutral
voted for  on CMT.com,0.6593922,neutral
"just got home from a nice party, just not tired yet",0.8823211,positive
Now I have a sunburn,0.74158,negative
I have the Job  this is a nice day it can not be better,0.98209333,positive
I wish I could go to #BEA this weekend.,0.8944237,positive
"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",0.6005919,neutral
 love your books,0.983452,positive
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,0.95652026,negative
Im Slowing on My Tweets..Cuase I Lost My Phone,0.74988586,negative
 well thank your phone for me.,0.8882767,positive
 why would they take a photo with stuffed animals?! that`s pretty funny,0.8606433,positive
TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,0.7789088,negative
tikcets are only Ã¯Â¿Â½91...each...BUT I SO WANT TO GO,0.8907229,positive
 Happy Mothers Day,0.9808827,positive
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,0.9534869,positive
is dreaming of the weekend... awake!,0.6489482,positive
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",0.80259657,negative
 yay but you missed naptime,0.5168215,neutral
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",0.95389163,positive
just set up a new computer again. 15min. I love Norton Ghost.,0.95818985,positive
